sub_label,sub_bearer_label,sub_classification,super_label,super_bearer_label,super_classification
'abnormal urine insulin level','insulin',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine deoxycorticosterone level','11-deoxycorticosterone',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine prostaglandin level','prostaglandin',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal optic placode morphology','lens placode',Continuant,'abnormal lens development','lens development in camera-type eye',Occurent
'abnormal foregut morphology','foregut',Continuant,'abnormal digestive system development','digestive system development',Occurent
'abnormal hair follicle placode morphology','hair follicle placode',Continuant,'abnormal hair follicle development','hair follicle development',Occurent
'submandibular gland inflammation','inflammatory response',Occurent,'abnormal submandibular gland physiology','submandibular gland',Continuant
'abnormal male germ cell apoptosis','apoptotic process',Occurent,'abnormal male reproductive system physiology','male reproductive system',Continuant
'abnormal pituitary secretion','secretion by tissue',Occurent,'abnormal pituitary gland physiology','pituitary gland',Continuant
'abnormal hypothalamus secretion','secretion by tissue',Occurent,'abnormal hypothalamus physiology','hypothalamus',Continuant
'abnormal meiosis','GO_0007126',Other,'abnormal gametogenesis','gamete generation',Occurent
'abnormal lens development','lens development in camera-type eye',Occurent,'abnormal lens morphology','lens of camera-type eye',Continuant
'abnormal eye development','eye development',Occurent,'abnormal eye morphology','camera-type eye',Continuant
'abnormal vertebrae development','animal organ development',Occurent,'abnormal vertebrae morphology','vertebra',Continuant
'abnormal posture','posture',Other,'abnormal motor capabilities/coordination/movement','multicellular organismal movement',Occurent
'esophageal ulcer','ulcer',Other,'abnormal esophagus morphology','esophagus',Continuant
'vitreous body hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal vitreous body morphology','vitreous body',Continuant
'abnormal enterocyte apoptosis','apoptotic process',Occurent,'abnormal enterocyte physiology','enterocyte',Continuant
'abnormal enterocyte proliferation','cell proliferation',Occurent,'abnormal enterocyte physiology','enterocyte',Continuant
'abnormal liver zinc level','zinc atom',Continuant,'abnormal zinc homeostasis','cellular zinc ion homeostasis',Occurent
'abnormal osteoblast apoptosis','apoptotic process',Occurent,'abnormal osteoblast physiology','osteoblast',Continuant
'abnormal renal protein reabsorption','renal protein absorption',Occurent,'abnormal protein level','protein',Continuant
'abnormal osteoblast proliferation','osteoblast proliferation',Occurent,'abnormal osteoblast physiology','osteoblast',Continuant
'inner ear cysts','cyst',Other,'abnormal inner ear morphology','internal ear',Continuant
'abnormal iron level','iron atom',Continuant,'abnormal iron homeostasis','iron ion homeostasis',Occurent
'acidosis','acid',Continuant,'abnormal pH regulation','regulation of pH',Occurent
'abnormal level of surface class II molecules','MHC class II protein complex',Continuant,'abnormal antigen presentation via MHC class II','antigen processing and presentation of peptide antigen via MHC class II',Occurent
'abnormal skeletal muscle satellite cell proliferation','skeletal muscle satellite cell proliferation',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'abnormal eating behavior','eating behavior',Occurent,'abnormal consumption behavior','feeding behavior',Other
'alkalosis','acid',Continuant,'abnormal pH regulation','regulation of pH',Occurent
'panniculitis','inflammatory response',Occurent,'abnormal skin adnexa physiology','integumentary adnexa',Continuant
'growth retardation of incisors','incisor tooth',Continuant,'abnormal tooth development','odontogenesis',Occurent
'abnormal renal reabsorbtion','renal absorption',Occurent,'abnormal kidney physiology','kidney',Continuant
'abnormal temporal memory','short-term memory',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal retinal pigment epithelium morphology','pigmented layer of retina',Continuant,'abnormal eye pigmentation','pigmentation',Occurent
'abnormal spatial learning','spatial learning',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal object recognition memory','visual object recognition',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal drinking behavior','drinking behavior',Occurent,'abnormal consumption behavior','feeding behavior',Other
'embryo tissue necrosis','necrotic cell death',Occurent,'abnormal embryonic tissue morphology','embryonic tissue',Continuant
'abnormal response to new environment','response to novel environment',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'variegated coat color','coat of hair',Continuant,'irregular coat pigmentation','pigmentation',Occurent
'abnormal urinary system development','renal system development',Occurent,'abnormal renal/urinary system morphology','renal system',Continuant
'abnormal urine ammonia level','ammonium',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine nitrite level','nitrite',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'increased urine selenium level','selenium atom',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'CNS inflammation','inflammatory response',Occurent,'abnormal nervous system physiology','nervous system',Continuant
'abnormal axial mesoderm','axial mesoderm formation',Occurent,'abnormal mesoderm morphology','mesoderm',Continuant
'perianal ulcer','ulcer',Other,'abnormal anus morphology','anus',Continuant
'abnormal embryonic hematopoiesis','embryonic hemopoiesis',Occurent,'abnormal extraembryonic tissue physiology','extraembryonic structure',Continuant
'abnormal iris pigment epithelium','iris epithelium',Continuant,'abnormal eye pigmentation','pigmentation',Occurent
'spinal hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal nervous system physiology','nervous system',Continuant
'placenta necrosis','necrotic cell death',Occurent,'abnormal placenta morphology','placenta',Continuant
'abnormal mast cell differentiation','mast cell differentiation',Occurent,'abnormal mast cell morphology','mast cell',Continuant
'abnormal gonad rudiment morphology','gonad mesenchyme',Continuant,'abnormal reproductive system development','reproductive system development',Occurent
'abnormal iris pigmentation','pigmentation',Occurent,'abnormal iris morphology','iris',Continuant
'aortic aneurysm','aneurysm',Other,'abnormal aorta morphology','aorta',Continuant
'abnormal ureter development','ureter development',Occurent,'abnormal ureter morphology','ureter',Continuant
'abnormal mast cell degranulation','mast cell degranulation',Occurent,'abnormal mast cell physiology','mast cell',Continuant
'abnormal skin development','skin development',Occurent,'abnormal skin morphology','zone of skin',Continuant
'hairless','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'abnormal horn pigmentation','pigmentation',Occurent,'abnormal horn morphology','horn',Continuant
'abnormal periocular mesenchyme apoptosis','apoptotic process',Occurent,'abnormal periocular mesenchyme morphology','periocular mesenchyme',Continuant
'impaired ossification of basisphenoid bone','basisphenoid bone',Continuant,'abnormal intramembranous bone ossification','intramembranous ossification',Occurent
'abnormal seminal vesicle development','seminal vesicle development',Occurent,'abnormal seminal vesicle morphology','seminal vesicle',Continuant
'kidney hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal kidney physiology','kidney',Continuant
'abnormal nephrogenic mesenchyme morphogenesis','nephrogenic mesenchyme morphogenesis',Occurent,'abnormal kidney mesenchyme morphology','kidney mesenchyme',Continuant
'abnormal hippocampus development','hippocampus development',Occurent,'abnormal hippocampus morphology','hippocampal formation',Continuant
'abnormal macrophage proliferation','macrophage proliferation',Occurent,'abnormal macrophage physiology','macrophage',Continuant
'abnormal kidney development','kidney development',Occurent,'abnormal kidney morphology','kidney',Continuant
'abnormal milk ejection','milk ejection reflex',Occurent,'abnormal reflex','reflexive behavior',Other
'abnormal methylmalonic acid level','methylmalonic acid',Continuant,'abnormal vitamin homeostasis','homeostatic process',Occurent
'impaired skin barrier function','regulation of water loss via skin',Occurent,'abnormal skin physiology','zone of skin',Continuant
'abnormal pituitary gland apoptosis','apoptotic process',Occurent,'abnormal pituitary gland physiology','pituitary gland',Continuant
'abnormal muscle development','muscle organ development',Occurent,'abnormal muscle morphology','muscle organ',Continuant
'abnormal neuronal migration','neuron migration',Occurent,'abnormal neuron physiology','neuron',Continuant
'early ear unfolding','outer ear unfolding',Occurent,'abnormal outer ear morphology','external ear',Continuant
'abnormal B cell activation','B cell activation',Occurent,'abnormal B cell physiology','B cell',Continuant
'abnormal muscle regeneration','tissue regeneration',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'impaired basement membrane formation','biosynthetic process',Occurent,'abnormal basement membrane morphology','basement membrane',Continuant
'delayed ear emergence','outer ear emergence',Occurent,'abnormal outer ear morphology','external ear',Continuant
'abnormal kidney medulla development','animal organ development',Occurent,'abnormal kidney medulla morphology','renal medulla',Continuant
'inguinal cysts','cyst',Other,'abnormal inguinal canal morphology','inguinal canal',Continuant
'increased susceptibility to induced pancreatitis','pancreas',Continuant,'pancreas inflammation','inflammatory response',Occurent
'increased foot pad pigmentation','epidermis of metapodial pad',Continuant,'hyperpigmentation','pigmentation',Occurent
'ovarian follicular cyst','cyst',Other,'abnormal ovarian follicle morphology','ovarian follicle',Continuant
'skeletal muscle necrosis','necrotic cell death',Occurent,'abnormal skeletal muscle morphology','skeletal muscle tissue',Continuant
'abnormal fetal atrioventricular canal morphology','atrioventricular canal',Continuant,'abnormal heart development','heart development',Occurent
'cardiomyopathy','cardiomyopathy',Other,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'abnormal fetal cardiomyocyte morphology','fetal cardiomyocyte',Continuant,'abnormal heart development','heart development',Occurent
'abnormal pancreas development','pancreas development',Occurent,'abnormal pancreas morphology','pancreas',Continuant
'abnormal extraocular muscle development','muscle organ development',Occurent,'abnormal extraocular muscle morphology','extra-ocular muscle',Continuant
'abnormal branching involved in bronchus morphogenesis','bronchus morphogenesis',Occurent,'abnormal bronchus morphology','bronchus',Continuant
'abnormal liver regeneration','liver regeneration',Occurent,'abnormal liver physiology','liver',Continuant
'trachea fibrosis','fibrosis',Other,'abnormal trachea morphology','trachea',Continuant
'abnormal trachea development','trachea development',Occurent,'abnormal trachea morphology','trachea',Continuant
'abnormal digit pigmentation','pigmentation',Occurent,'abnormal digit morphology','digit',Continuant
'abnormal ovulation','ovulation from ovarian follicle',Occurent,'abnormal female reproductive system physiology','female reproductive system',Continuant
'phototoxicity','zone of skin',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal myotome morphology','myotome',Continuant,'abnormal muscle development','muscle organ development',Occurent
'absent embryonic telencephalon','future telencephalon',Continuant,'abnormal telencephalon development','telencephalon development',Occurent
'abnormal iris stromal pigmentation','pigmentation',Occurent,'abnormal iris stroma morphology','iris stroma',Continuant
'abnormal vitamin level','vitamin',Continuant,'abnormal vitamin homeostasis','homeostatic process',Occurent
'abnormal macrophage differentiation','macrophage differentiation',Occurent,'abnormal macrophage morphology','macrophage',Continuant
'abnormal cardiovascular development','cardiovascular system development',Occurent,'abnormal cardiovascular system morphology','cardiovascular system',Continuant
'abnormal granulocyte differentiation','granulocyte differentiation',Occurent,'abnormal granulocyte morphology','granulocyte',Continuant
'abnormal cellular glucose uptake','glucose import',Occurent,'abnormal cell physiology','cell',Continuant
'ascites','organism substance',Continuant,'abnormal fluid regulation','regulation of body fluid levels',Occurent
'abnormal body temperature','multicellular organism',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal mastication','chewing',Other,'abnormal eating behavior','eating behavior',Occurent
'abnormal T cell differentiation','T cell differentiation',Occurent,'abnormal T cell morphology','T cell',Continuant
'abnormal translation','translation',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal vertebral body development','bony vertebral centrum',Continuant,'abnormal vertebrae development','animal organ development',Occurent
'abnormal vertebral arch development','neural arch',Continuant,'abnormal vertebrae development','animal organ development',Occurent
'biliary cyst','cyst',Other,'abnormal bile duct morphology','bile duct',Continuant
'sirenomelia','hindlimb',Continuant,'abnormal left-right axis patterning','left/right axis specification',Occurent
'abnormal memory B cell differentiation','memory B cell differentiation',Occurent,'abnormal memory B cell morphology','memory B cell',Continuant
'abnormal involuntary movement','involuntary movement behavior',Other,'abnormal motor capabilities/coordination/movement','multicellular organismal movement',Occurent
'abnormal voluntary movement','voluntary movement behavior',Other,'abnormal motor capabilities/coordination/movement','multicellular organismal movement',Occurent
'abnormal sperm motility','flagellated sperm motility',Occurent,'abnormal sperm physiology','sperm',Continuant
'osteomyelitis','inflammatory response',Occurent,'abnormal skeleton physiology','skeletal system',Continuant
'abnormal midbrain-hindbrain boundary development','midbrain-hindbrain boundary development',Occurent,'abnormal midbrain-hindbrain boundary morphology','midbrain-hindbrain boundary',Continuant
'abnormal immunoglobulin level',"'immunoglobulin complex, circulating'",Continuant,'abnormal humoral immune response','humoral immune response',Occurent
'lung hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal pulmonary circulation','blood circulation',Occurent
'abnormal oocyte morphology','oocyte',Continuant,'abnormal oogenesis','oogenesis',Occurent
'testis inflammation','inflammatory response',Occurent,'abnormal testis physiology','testis',Continuant
'abnormal forebrain development','forebrain development',Occurent,'abnormal forebrain morphology','forebrain',Continuant
'abnormal melanocyte morphology','melanocyte',Continuant,'pigmentation phenotype','pigmentation',Occurent
'abnormal plasma cell differentiation','plasma cell differentiation',Occurent,'abnormal plasma cell morphology','plasma cell',Continuant
'abnormal T-helper 1 cell differentiation','T-helper 1 cell differentiation',Occurent,'abnormal T-helper 1 cell morphology','T-helper 1 cell',Continuant
'decreased susceptibility to induced joint inflammation','skeletal joint',Continuant,'joint inflammation','inflammatory response',Occurent
'abnormal T-helper 2 cell differentiation','T-helper 2 cell differentiation',Occurent,'abnormal T-helper 2 cell morphology','T-helper 2 cell',Continuant
'abnormal cardiomyocyte apoptosis','apoptotic process',Occurent,'abnormal myocardial fiber physiology','cardiac muscle cell',Continuant
'abnormal CD4-positive T cell differentiation',"'CD4-positive, alpha-beta T cell differentiation'",Occurent,"'abnormal CD4-positive, alpha beta T cell morphology'","'CD4-positive, alpha-beta T cell'",Continuant
'brain aneurysm','aneurysm',Other,'abnormal brain vasculature morphology','brain',Continuant
'hydrocephaly','cerebrospinal fluid',Continuant,'abnormal brain development','brain development',Occurent
'abnormal osteoblast physiology','osteoblast',Continuant,'abnormal bone remodeling','bone remodeling',Occurent
'skin inflammation','inflammatory response',Occurent,'abnormal skin physiology','zone of skin',Continuant
'abnormal retinal development','retina development in camera-type eye',Occurent,'abnormal retina morphology','retina',Continuant
'duodenal ulcer','ulcer',Other,'abnormal duodenum morphology','duodenum',Continuant
'abnormal amino acid level','amino acid',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'myositis','myositis',Other,'increased inflammatory response','inflammatory response',Occurent
'abnormal blood uric acid level','uric acid',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'cornea ulcer','ulcer',Other,'abnormal cornea morphology','cornea',Continuant
'abnormal immune tolerance','tolerance induction',Occurent,'abnormal immune system physiology','immune system',Continuant
'abnormal splenocyte proliferation','cell proliferation',Occurent,'abnormal splenocyte physiology','splenocyte',Continuant
'abnormal splenocyte apoptosis','apoptotic process',Occurent,'abnormal splenocyte physiology','splenocyte',Continuant
'abnormal urine sodium level','sodium atom',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine organic anion level','organic anion',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'telangiectases','telangiectasia',Other,'abnormal vasodilation','vasodilation',Occurent
'persistent cloaca','cloacal septation',Occurent,'abnormal renal/urinary system morphology','renal system',Continuant
'abnormal long bone epiphysis morphology','epiphysis',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'abnormal thymocyte apoptosis','thymocyte apoptotic process',Occurent,'abnormal thymus physiology','thymus',Continuant
'abnormal olfactory bulb development','olfactory bulb development',Occurent,'abnormal olfactory bulb morphology','olfactory bulb',Continuant
'abnormal enamel organ morphology','tooth enamel organ',Continuant,'abnormal tooth development','odontogenesis',Occurent
'increased granulosa cell apoptosis','apoptotic process',Occurent,'abnormal female reproductive system physiology','female reproductive system',Continuant
'abnormal milk composition','milk',Continuant,'abnormal lactation','lactation',Occurent
'abnormal double-positive T cell morphology',"'double-positive, alpha-beta thymocyte'",Continuant,'abnormal T cell differentiation','T cell differentiation',Occurent
'abnormal double-negative T cell morphology','double negative thymocyte',Continuant,'abnormal T cell differentiation','T cell differentiation',Occurent
'abnormal sex determination','sex determination',Occurent,'abnormal reproductive system morphology','reproductive system',Continuant
'abnormal urine protein level','protein',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal blood osmolality','blood',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal circulating mineral level','mineral',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'sphingomyelinosis','sphingomyelin catabolic process',Occurent,'abnormal plasma membrane sphingolipid content','plasma membrane',Continuant
'placenta junctional zone necrosis','necrotic cell death',Occurent,'abnormal placenta junctional zone morphology','placenta junctional zone',Continuant
'abnormal skeleton development','skeletal system development',Occurent,'abnormal skeleton morphology','skeletal system',Continuant
'abnormal fontanelle morphology','fontanelle',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'defasiculated phrenic nerve','axonal fasciculation',Occurent,'abnormal phrenic nerve morphology','phrenic nerve',Continuant
'abnormal cell adhesion','cell adhesion',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal retinal pigmentation','pigmentation',Occurent,'abnormal retinal pigment epithelium morphology','pigmented layer of retina',Continuant
'bile duct inflammation','inflammatory response',Occurent,'abnormal bile duct physiology','bile duct',Continuant
'chondrodystrophy','cartilage tissue',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'ventricular aneurysm','aneurysm',Other,'abnormal heart ventricle morphology','cardiac ventricle',Continuant
'pancreas lipomatosis','lipoma',Other,'abnormal pancreas morphology','pancreas',Continuant
'pancreas cysts','cyst',Other,'abnormal pancreas morphology','pancreas',Continuant
'pancreas fibrosis','fibrosis',Other,'abnormal pancreas morphology','pancreas',Continuant
'abnormal tooth development','odontogenesis',Occurent,'abnormal tooth morphology','calcareous tooth',Continuant
'abnormal keratinocyte apoptosis','keratinocyte apoptotic process',Occurent,'abnormal keratinocyte physiology','keratinocyte',Continuant
'respiratory system inflammation','inflammatory response',Occurent,'abnormal respiratory system physiology','respiratory system',Continuant
'retina microaneurysm','aneurysm',Other,'abnormal retinal vasculature morphology','retina blood vessel',Continuant
'abnormal embryonic tissue cell apoptosis','apoptotic process',Occurent,'abnormal embryonic tissue physiology','embryonic tissue',Continuant
'endometrium fibrosis','fibrosis',Other,'abnormal endometrium morphology','endometrium',Continuant
'abnormal penile erection','penile erection',Occurent,'abnormal male reproductive system physiology','male reproductive system',Continuant
'abnormal ejaculation','sperm ejaculation',Occurent,'abnormal male reproductive system physiology','male reproductive system',Continuant
'abnormal sinuatrial valve morphology','sinoatrial valve',Continuant,'abnormal heart development','heart development',Occurent
'impaired macrophage phagocytosis','phagocytosis',Occurent,'abnormal macrophage physiology','macrophage',Continuant
'increased head mesenchyme apoptosis','apoptotic process',Occurent,'abnormal head mesenchyme morphology','head mesenchyme',Continuant
'abnormal T cell activation','T cell activation',Occurent,'abnormal T cell physiology','T cell',Continuant
'intracranial hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal nervous system physiology','nervous system',Continuant
'head mesenchyme necrosis','necrotic cell death',Occurent,'abnormal head mesenchyme morphology','head mesenchyme',Continuant
'abnormal radial glial cell morphology','radial glial cell',Continuant,'abnormal neuron differentiation','neurogenesis',Occurent
'abnormal macrophage cytokine production','macrophage cytokine production',Occurent,'abnormal macrophage physiology','macrophage',Continuant
'abnormal macrophage apoptosis','macrophage apoptotic process',Occurent,'abnormal macrophage physiology','macrophage',Continuant
'abnormal pulmonary circulation','blood circulation',Occurent,'abnormal respiratory system physiology','respiratory system',Continuant
'abnormal mitotic spindle morphology','mitotic spindle',Continuant,'abnormal mitosis','GO_0007067',Other
'abnormal mitotic spindle assembly checkpoint','mitotic spindle assembly checkpoint',Occurent,'abnormal mitosis','GO_0007067',Other
'abnormal macrophage activation involved in immune response','macrophage activation involved in immune response',Occurent,'abnormal macrophage physiology','macrophage',Continuant
'abnormal dendritic cell antigen presentation','dendritic cell antigen processing and presentation',Occurent,'abnormal dendritic cell physiology','dendritic cell',Continuant
'abnormal otic vesicle morphology','ear vesicle',Continuant,'abnormal ear development','ear development',Occurent
'oligozoospermia','sperm',Continuant,'abnormal spermatogenesis','spermatogenesis',Occurent
'bone necrosis','necrotic cell death',Occurent,'abnormal skeleton physiology','skeletal system',Continuant
'hemarthrosis','hemorrhage and non-specified extravasation',Other,'abnormal joint morphology','skeletal joint',Continuant
'pulmonary interstitial fibrosis','fibrosis',Other,'abnormal lung interstitium morphology','lung connective tissue',Continuant
'abnormal ultimobranchial body morphology','ultimobranchial body',Continuant,'abnormal thyroid gland development','thyroid gland development',Occurent
'pancreas inflammation','inflammatory response',Occurent,'abnormal pancreas physiology','pancreas',Continuant
'incomplete rostral neuropore closure','anterior neuropore',Continuant,'abnormal neural tube closure','neural tube closure',Occurent
'impaired contractility of urinary bladder detrusor smooth muscle','intestine smooth muscle contraction',Occurent,'abnormal urinary bladder physiology','urinary bladder',Continuant
'abnormal circadian sleep/wake cycle','circadian sleep/wake cycle',Occurent,'abnormal sleep pattern','sleeping behavior',Other
'abnormal thyroglossal duct morphology','thyroglossal duct',Continuant,'abnormal thyroid gland development','thyroid gland development',Occurent
'abnormal blood pressure regulation','regulation of blood pressure',Occurent,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'epistaxis','hemorrhage and non-specified extravasation',Other,'abnormal nose morphology','nose',Continuant
'penis inflammation','inflammatory response',Occurent,'abnormal male reproductive system physiology','male reproductive system',Continuant
'abnormal inner ear development','inner ear development',Occurent,'abnormal inner ear morphology','internal ear',Continuant
'abnormal thrombopoiesis','thrombocyte differentiation',Occurent,'abnormal platelet morphology','platelet',Continuant
'decreased susceptibility to hyperlipidemia','multicellular organism',Continuant,'abnormal lipid homeostasis','lipid homeostasis',Occurent
'nephron necrosis','necrotic cell death',Occurent,'abnormal nephron morphology','nephron',Continuant
'abnormal tail bud morphology','post-anal tail bud',Continuant,'abnormal tail development','post-anal tail morphogenesis',Occurent
'abnormal hearing physiology','sensory perception of sound',Occurent,'abnormal ear physiology','ear',Continuant
'abnormal placenta development','placenta development',Occurent,'abnormal placenta physiology','placenta',Continuant
'throat cyst','cyst',Other,'abnormal throat morphology','throat',Continuant
'retention of the adrenal gland x-zone','programmed cell death',Occurent,'abnormal adrenal gland x-zone morphology','adrenal gland X zone',Continuant
'abnormal dermal melanocyte morphology','dermal melanocyte',Continuant,'abnormal dermal pigmentation','pigmentation',Occurent
'abnormal epidermal melanocyte morphology','skin epidermis',Continuant,'abnormal epidermal pigmentation','pigmentation',Occurent
'abnormal redox activity','regulation of oxidoreductase activity',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal cellular cholesterol metabolism','cholesterol metabolic process',Occurent,'abnormal cell physiology','cell',Continuant
'increased hepatocyte apoptosis','apoptotic process',Occurent,'abnormal hepatocyte physiology','hepatocyte',Continuant
'decreased embryonic epiblast cell proliferation','cell proliferation',Occurent,'abnormal embryonic epiblast morphology','inner cell mass derived epiblast',Continuant
'increased embryonic epiblast cell apoptosis','apoptotic process',Occurent,'abnormal embryonic epiblast morphology','inner cell mass derived epiblast',Continuant
'abnormal vascular endothelial cell adhesion','cell adhesion',Occurent,'abnormal vascular endothelial cell physiology','blood vessel endothelial cell',Continuant
'increased hepatocyte proliferation','hepatocyte proliferation',Occurent,'abnormal hepatocyte physiology','hepatocyte',Continuant
'abnormal monocyte differentiation','monocyte differentiation',Occurent,'abnormal monocyte morphology','monocyte',Continuant
'abnormal surfactant secretion','secretion',Occurent,'abnormal surfactant physiology','surfactant',Continuant
'ear inflammation','inflammatory response',Occurent,'abnormal ear physiology','ear',Continuant
'incomplete caudal neuropore closure','posterior neuropore',Continuant,'abnormal neural tube closure','neural tube closure',Occurent
'early degeneration of the adrenal gland x-zone','programmed cell death',Occurent,'abnormal adrenal gland x-zone morphology','adrenal gland X zone',Continuant
'lung cysts','cyst',Other,'abnormal lung morphology','lung',Continuant
'fused somites','somite',Continuant,'abnormal somite development','somite development',Occurent
'myocardial necrosis','necrotic cell death',Occurent,'abnormal myocardium layer morphology','myocardium',Continuant
'decreased cytotoxic T cell apoptosis','apoptotic process',Occurent,'abnormal cytotoxic T cell physiology',"'CD8-positive, alpha-beta cytotoxic T cell'",Continuant
'increased cytotoxic T cell apoptosis','apoptotic process',Occurent,'abnormal cytotoxic T cell physiology',"'CD8-positive, alpha-beta cytotoxic T cell'",Continuant
'abnormal cell cycle','cell cycle',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal hemopoiesis','hemopoiesis',Occurent,'abnormal blood cell morphology/development','blood cell',Continuant
'impaired hematopoiesis','hemopoiesis',Occurent,'abnormal blood cell morphology/development','blood cell',Continuant
'small gonad','gonad',Continuant,'abnormal primary sex determination','primary sex determination',Occurent
'abnormal lymphangiogenesis','lymphangiogenesis',Occurent,'abnormal lymphatic vessel morphology','lymphatic vessel',Continuant
'premature hair loss','multicellular organism',Continuant,'abnormal hair growth','anagen',Occurent
"'abnormal CD8-positive, alpha-beta memory T cell proliferation'",'cell proliferation',Occurent,'abnormal memory T cell physiology','memory T cell',Continuant
'abnormal endometrial gland development','uterine gland development',Occurent,'abnormal endometrial gland morphology','endometrial gland',Continuant
'abnormal Bergmann glial cell differentiation','Bergmann glial cell differentiation',Occurent,'abnormal Bergmann glial cell morphology','Bergmann glial cell',Continuant
'intestinal fibrosis','fibrosis',Other,'abnormal intestine morphology','intestine',Continuant
'abnormal hemopoiesis','hemopoiesis',Occurent,'abnormal blood cell morphology','blood cell',Continuant
'abnormal vascular endothelial cell proliferation','cell proliferation',Occurent,'abnormal vascular endothelial cell physiology','blood vessel endothelial cell',Continuant
'abnormal ovarian secretion','secretion by tissue',Occurent,'abnormal ovary physiology','ovary',Continuant
'abnormal hypoglossal cord morphology','hypoglossal cord',Continuant,'abnormal myogenesis','muscle cell development',Occurent
'abnormal adipose tissue development','adipose tissue development',Occurent,'abnormal adipose tissue morphology','adipose tissue',Continuant
'abnormal long bone hypertrophic chondrocyte zone','long bone epiphyseal plate hypertrophic zone',Continuant,'abnormal cartilage development','cartilage development',Occurent
'increased pancreatic alpha cell proliferation','cell proliferation',Occurent,'abnormal pancreatic alpha cell physiology','pancreatic A cell',Continuant
'abnormal pancreatic beta cell apoptosis','apoptotic process',Occurent,'abnormal pancreatic beta cell physiology','type B pancreatic cell',Continuant
'abnormal cartilage development','cartilage development',Occurent,'abnormal cartilage morphology','cartilage tissue',Continuant
'abnormal epidermal stem cell proliferation','cell proliferation',Occurent,'abnormal epidermal stem cell physiology','stem cell of epidermis',Continuant
'abnormal epidermal stem cell apoptosis','apoptotic process',Occurent,'abnormal epidermal stem cell physiology','stem cell of epidermis',Continuant
'abnormal small intestinal crypt cell proliferation','cell proliferation',Occurent,'abnormal small intestinal crypt cell physiology','crypt of Lieberkuhn of small intestine',Continuant
'abnormal rib development','animal organ development',Occurent,'abnormal rib morphology','rib',Continuant
'impaired luteinization','luteinization',Occurent,'abnormal female reproductive system physiology','female reproductive system',Continuant
'heart left ventricle aneurysm','aneurysm',Other,'abnormal heart left ventricle morphology','heart left ventricle',Continuant
'heart right ventricle aneurysm','aneurysm',Other,'abnormal heart right ventricle morphology','heart right ventricle',Continuant
'vascular inflammation','inflammatory response',Occurent,'abnormal blood vessel physiology','blood vessel',Continuant
'dermal cysts','cyst',Other,'abnormal dermal layer morphology','dermis',Continuant
'abnormal vestibuloocular reflex','vestibulo-ocular reflex',Other,'abnormal vestibular system physiology','vestibular system',Continuant
'skeletal muscle fiber necrosis','necrotic cell death',Occurent,'abnormal skeletal muscle fiber morphology','cell of skeletal muscle',Continuant
'increased mammary gland epithelial cell proliferation','mammary gland epithelial cell proliferation',Occurent,'abnormal mammary gland epithelium physiology','epithelium of mammary gland',Continuant
'decreased mammary gland epithelial cell proliferation','mammary gland epithelial cell proliferation',Occurent,'abnormal mammary gland epithelium physiology','epithelium of mammary gland',Continuant
'photophobia','camera-type eye',Continuant,'abnormal behavioral response to light','behavioral response to light',Other
'abnormal PP cell differentiation','pancreatic PP cell differentiation',Occurent,'abnormal PP cell morphology','PP cell',Continuant
'decreased regulatory T cell apoptosis','apoptotic process',Occurent,'abnormal regulatory T cell physiology','regulatory T cell',Continuant
